region,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,weighted_f1_min,weighted_f1_max
full_body_both_mice,5,0.7824062015296438,0.021594738342501807,0.018928622732940825,0.754375,0.8095962389380531,0.7756821130178404,0.02981725247040626,0.026135974143031957,0.7411722350230414,0.8179788961038961,0.7747513029520035,0.031017976723212812,0.02718845535522313,0.7371563547165577,0.819290347272398,0.7830931436959114,0.020428098350279224,0.017906017692412058,0.756452318115274,0.8084254636788081
no_tail_both_mice,5,0.7715129882048339,0.033911403579126774,0.029724655817219996,0.737478159580664,0.806554203539823,0.766550544814285,0.03549739897426664,0.03111484207530947,0.7262085253456221,0.8146055194805195,0.7643637235917629,0.04006400820490225,0.03511765155253014,0.7111933331390218,0.8150865811685475,0.773670796774201,0.03252768628275104,0.028511774130175353,0.7402417575853362,0.8072250580787651
hips_tail_both_mice,5,0.7716547364951866,0.018026081149118335,0.015800556784403598,0.757375,0.8017146017699115,0.7601806111721511,0.031049642869497653,0.027216211956249046,0.7199078341013825,0.804698051948052,0.7615059720603866,0.034492913341542426,0.030234371597689727,0.7155944488321022,0.8106133524267096,0.7723753406028149,0.01944066220969882,0.01704049175357115,0.7550975232942525,0.8038493586924599
head_neck_both_mice,5,0.759981591435891,0.028290886166904144,0.0247980550882592,0.725125,0.7934844192634561,0.754104568772676,0.02645266193655824,0.023186780508178455,0.725125,0.7841152597402598,0.7548860663529242,0.03194522031258979,0.028001220196661878,0.718843990390279,0.7932341865075074,0.7621277470331449,0.027999157520498134,0.024542343655194847,0.7276616428449617,0.7950018682608485
trunk_tail_both_mice,5,0.7658617785609435,0.023912659289397727,0.02096037002400297,0.749,0.802129424778761,0.7538787658780659,0.041762906647001344,0.036606801694663745,0.7078162442396313,0.8109172077922078,0.7533098322055893,0.04058327547790185,0.03557280938553001,0.7060215901729386,0.8086418300260566,0.7661873872496026,0.02244966021685771,0.01967799479613327,0.7489189235813521,0.8010164150690022
head_only_both_mice,5,0.7632625155931034,0.02765907570573416,0.02424424880135114,0.732625,0.8076487252124646,0.7517482465951577,0.03308071231761426,0.02899652282262964,0.7079798387096774,0.7942240566037735,0.7522468319366971,0.03363482792311758,0.0294822265658588,0.7088721752984921,0.7944580172871483,0.7630931528399165,0.028692409256300917,0.025150005593850548,0.7339961128217062,0.8094553891484554
hips_only_both_mice,5,0.7632276825835842,0.016865515862466537,0.014783276458077857,0.7451951077460687,0.7823561946902655,0.7505034919888389,0.028208069452497316,0.024725463037449154,0.717020737327189,0.7904707792207792,0.7511807906470243,0.029590955421992412,0.02593761603435447,0.7124584680811973,0.7921974087860856,0.7634780078077187,0.014872294252347441,0.013036140684414289,0.7472044491173631,0.7826311106501341
neck_only_both_mice,5,0.6271636281416954,0.028262706543890907,0.024773354559625135,0.6004659289458357,0.6606232294617563,0.6192454069211373,0.028625029110631035,0.025090944292118285,0.5813594470046083,0.6532783018867925,0.6179195724288353,0.03219588603495795,0.028220938389840845,0.5797107264831114,0.652477984228424,0.6262675850849627,0.029860473903972694,0.026173859399939457,0.5967587797713864,0.6602017084074636
resident_only_full_body,5,0.6106733594493647,0.043514852134586536,0.03814244962228463,0.575875,0.6844579646017699,0.625516393436144,0.04828842652690023,0.042326672062335965,0.575875,0.7025162337662337,0.6176885565981657,0.038864042012924746,0.03406583480995253,0.5764962164442471,0.680796028389329,0.6110947543529898,0.04130442396700256,0.036204923906582184,0.576496216444247,0.679819978693025
tail_base_only_both_mice,5,0.6010497701520672,0.035232403710887414,0.03088256348563796,0.569625,0.650304203539823,0.6008115914821636,0.04834365528602103,0.04237508220414114,0.5487137096774194,0.6717970779220779,0.5973017761838955,0.04418174708134169,0.038727008816724515,0.5473169216773324,0.6565789349071924,0.6019169780333744,0.034268883965584966,0.030038001191559416,0.5680389795335656,0.6473726743806546
intruder_only_full_body,5,0.5329642030243418,0.0605504135469811,0.053074777576655366,0.4630168899242865,0.6161504424778761,0.5438974116875211,0.06490278611851363,0.05688980034252947,0.4750967741935484,0.637961038961039,0.5389794135740261,0.056084794339025766,0.04916048975729354,0.4732536601150219,0.6176714744728032,0.5348595531272404,0.055783985413578464,0.04889681910872232,0.46680494522495597,0.6109132442847998
