seed,region,degradation_mode,degradation_severity,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_attack,recall_investigation,recall_mount,recall_other,f1_attack,f1_investigation,f1_mount,f1_other,support_attack,support_investigation,support_mount,support_other
11,full_body_both_mice,clean,0.0,0.8095962389380531,0.8179788961038961,0.819290347272398,0.8084254636788081,0.8525,0.633,0.8969155844155844,0.8895,0.7697516930022573,0.6967528893780958,0.9216013344453712,0.889055472263868,2000,2000,1232,2000
11,full_body_both_mice,jitter,0.02,0.8098727876106194,0.8183847402597403,0.8194726028292738,0.8085316402978692,0.859,0.6275,0.898538961038961,0.8885,0.7710951526032316,0.694905869324474,0.9225,0.8893893893893894,2000,2000,1232,2000
11,full_body_both_mice,jitter,0.05,0.8055862831858407,0.814275974025974,0.8146604613649587,0.8032699969373309,0.881,0.5935,0.8961038961038961,0.8865,0.7694323144104803,0.6778983438035409,0.9219206680584551,0.8893905191873589,2000,2000,1232,2000
11,full_body_both_mice,jitter,0.1,0.7773783185840708,0.7855811688311688,0.7838717577075318,0.7714900784257281,0.917,0.484,0.8628246753246753,0.8785,0.7417593528816987,0.6027397260273972,0.9004659042778483,0.890522047643183,2000,2000,1232,2000
11,full_body_both_mice,dropout,0.05,0.8095962389380531,0.8182905844155843,0.8195348437169242,0.808546023523218,0.847,0.637,0.9001623376623377,0.889,0.7687769457680962,0.6971272229822162,0.9230129005409904,0.8892223055763941,2000,2000,1232,2000
11,full_body_both_mice,dropout,0.15,0.8084900442477876,0.8172126623376623,0.818590303560788,0.8075895633116116,0.838,0.642,0.8993506493506493,0.8895,0.7672236209658961,0.6961236107346165,0.922180607573866,0.8888333749687735,2000,2000,1232,2000
11,full_body_both_mice,dropout,0.3,0.8083517699115044,0.8175551948051948,0.8186700709967691,0.8074741969757024,0.831,0.645,0.9042207792207793,0.89,0.7664284067327646,0.6950431034482759,0.9240978846951472,0.8891108891108891,2000,2000,1232,2000
11,full_body_both_mice,temporal_subsample,2.0,0.8090431415929203,0.81724512987013,0.8184657755141016,0.807900988438334,0.8495,0.636,0.8944805194805194,0.889,0.7719218537028624,0.6943231441048034,0.9179508538109121,0.8896672504378283,2000,2000,1232,2000
11,full_body_both_mice,temporal_subsample,3.0,0.8090431415929203,0.8178685064935065,0.8187377080119946,0.8077388880444898,0.851,0.6315,0.900974025974026,0.888,0.7722323049001815,0.6912972085385879,0.9223099293726631,0.8891113892365456,2000,2000,1232,2000
11,full_body_both_mice,temporal_subsample,5.0,0.8030973451327433,0.8124935064935064,0.8132649515678775,0.8017662693398174,0.841,0.62,0.900974025974026,0.888,0.7619479048697622,0.6800109679188374,0.9215442092154421,0.8895567242674681,2000,2000,1232,2000
