region,degradation_mode,degradation_severity,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95
full_body_both_mice,clean,0.0,5,0.7824062015296438,0.021594738342501807,0.01892862273294083,0.7756821130178404,0.02981725247040626,0.026135974143031957,0.7747513029520035,0.031017976723212812,0.027188455355223125,0.7830931436959114,0.020428098350279224,0.017906017692412055
no_tail_both_mice,clean,0.0,5,0.7715129882048339,0.033911403579126774,0.029724655817219996,0.766550544814285,0.03549739897426664,0.03111484207530947,0.7643637235917629,0.04006400820490225,0.03511765155253013,0.773670796774201,0.03252768628275104,0.028511774130175357
hips_tail_both_mice,clean,0.0,5,0.7716547364951866,0.018026081149118335,0.015800556784403598,0.7601806111721511,0.031049642869497653,0.027216211956249042,0.7615059720603866,0.034492913341542426,0.030234371597689724,0.7723753406028149,0.01944066220969882,0.01704049175357115
head_neck_both_mice,clean,0.0,5,0.759981591435891,0.028290886166904144,0.0247980550882592,0.754104568772676,0.02645266193655824,0.023186780508178455,0.7548860663529242,0.03194522031258979,0.028001220196661875,0.7621277470331449,0.027999157520498134,0.024542343655194847
trunk_tail_both_mice,clean,0.0,5,0.7658617785609435,0.023912659289397727,0.02096037002400297,0.7538787658780659,0.041762906647001344,0.036606801694663745,0.7533098322055893,0.04058327547790185,0.03557280938553001,0.7661873872496026,0.02244966021685771,0.01967799479613327
resident_only_full_body,clean,0.0,5,0.6106733594493647,0.043514852134586536,0.03814244962228463,0.625516393436144,0.04828842652690023,0.042326672062335965,0.6176885565981657,0.038864042012924746,0.03406583480995254,0.6110947543529898,0.04130442396700256,0.03620492390658219
intruder_only_full_body,clean,0.0,5,0.5329642030243418,0.0605504135469811,0.05307477757665536,0.5438974116875211,0.06490278611851363,0.056889800342529474,0.5389794135740261,0.056084794339025766,0.04916048975729354,0.5348595531272404,0.055783985413578464,0.04889681910872232
full_body_both_mice,dropout,0.05,5,0.7818499367734397,0.021682681501146724,0.01900570831024817,0.7747866970065843,0.030745063241698532,0.02694923614133944,0.7740493766057844,0.03179434286716584,0.027868970284760007,0.7825601282064748,0.020552968073396172,0.018015470830586716
no_tail_both_mice,dropout,0.05,5,0.7712269691273307,0.03375007471054315,0.02958324482900064,0.7660385460552838,0.03538120134651075,0.031012990363870806,0.7640142376449777,0.03988698972135277,0.03496248801043383,0.7733667864958786,0.032373814388695035,0.028376899468320494
hips_tail_both_mice,dropout,0.05,5,0.769705315228793,0.017498465429739644,0.015338081215508542,0.7578211797788335,0.030807789695421004,0.02700421830222773,0.7593012955382887,0.03419212302833234,0.029970717263463738,0.7703977799742242,0.019000243360570327,0.016654447611363525
head_neck_both_mice,dropout,0.05,5,0.7593310287529402,0.02808043934956012,0.02461359031968115,0.7532568128463137,0.026427438484749818,0.023164671177853095,0.7541837383100152,0.032081536322760625,0.028120706447805982,0.7614813491422675,0.027767822868302,0.02433956989211301
trunk_tail_both_mice,dropout,0.05,5,0.7657956533125054,0.024320565006241048,0.02131791514922177,0.7537475575246422,0.042144387975810334,0.03694118482254237,0.7532006047439465,0.04097846997949002,0.03591921263932505,0.766116269023855,0.022925711638407766,0.020095272265166834
resident_only_full_body,dropout,0.05,5,0.6085046078012086,0.044869614716924626,0.039329951383457226,0.6228371321466117,0.04942886188805616,0.043326307730999734,0.6157475031773227,0.04012029993728942,0.035166993431484196,0.6092152206680425,0.04275465367087725,0.03747610628931664
intruder_only_full_body,dropout,0.05,5,0.529976505419166,0.06124420034404243,0.05368290851718279,0.540558325363012,0.06528339900817556,0.05722342224993297,0.5364041096947421,0.056594172581878745,0.04960697947318678,0.5321551046362686,0.05663467217897421,0.04964247893523616
full_body_both_mice,dropout,0.15,5,0.7802943811125962,0.02206005590566298,0.019336491560263177,0.772294756187209,0.03218880387147413,0.028214730599841625,0.7721081950807301,0.03286714422759638,0.028809322137924562,0.780969398631953,0.021014631732635968,0.0184201368699089
no_tail_both_mice,dropout,0.15,5,0.7694846755147398,0.032923615300167276,0.028858821215480657,0.7634125880358229,0.03512652204336684,0.030789754112028323,0.7618378076462046,0.03934085686870419,0.03448378145859274,0.7715703246177743,0.03151410690414764,0.027623332632844867
hips_tail_both_mice,dropout,0.15,5,0.7664402768837426,0.017076547170141298,0.014968253555019701,0.7532361713605931,0.03181754777428784,0.027889310282656656,0.755226416473241,0.03516904817616037,0.030827029910936957,0.7670501959106583,0.018938738993457493,0.016600536656618783
head_neck_both_mice,dropout,0.15,5,0.7575810069437301,0.02704386776726825,0.023704995267233887,0.750398324454,0.02621632581021392,0.022979622759712864,0.7520072965594611,0.03158123725187079,0.027682174977022838,0.7597424154620619,0.026706488130700274,0.023409268977010542
trunk_tail_both_mice,dropout,0.15,5,0.7650010431495449,0.022829492418617144,0.020010932400418853,0.7520587688027127,0.04213489706549544,0.03693286567285445,0.7517734434790698,0.040881530134282515,0.03583424111854903,0.7651388439092097,0.02180454957878788,0.01911253039015817
resident_only_full_body,dropout,0.15,5,0.6054577022747297,0.04625600518568545,0.04054517620940797,0.6192683993881956,0.05019596885919243,0.0439987066377218,0.6138917186804422,0.04106628346232053,0.03599618455076946,0.6068346954038815,0.04413493460708891,0.03868597587387184
intruder_only_full_body,dropout,0.15,5,0.5219991524153521,0.06252717212591286,0.0548074828672335,0.5315831704357724,0.06649208519559152,0.058282882405515615,0.5291970264015646,0.05819369111151562,0.051009019281293894,0.5248907683245152,0.05810888917432925,0.05093468710599431
full_body_both_mice,dropout,0.3,5,0.7791725395091356,0.021459494614196647,0.018810076378292653,0.7703827740275548,0.033499308154042756,0.029363438250807814,0.7705320919303237,0.03391966495516671,0.02973189723259789,0.7797641796447118,0.02050016391837722,0.017969185947980925
no_tail_both_mice,dropout,0.3,5,0.7686897365560718,0.03242225063328312,0.028419355708626207,0.7619206080894152,0.03480730334092514,0.030509946582435544,0.7607975326381504,0.038697640548479594,0.03391997749541902,0.7707274858115003,0.030847787772531776,0.027039278162628206
trunk_tail_both_mice,dropout,0.3,5,0.7627098182583343,0.02332311576412641,0.02044361233990797,0.7486520923081788,0.04418118907626688,0.03872651970371112,0.7487932975332439,0.042985868565963606,0.03767877508066348,0.7627197179682506,0.022690070998291484,0.019888724137258697
hips_tail_both_mice,dropout,0.3,5,0.7611238525693744,0.016381713976526123,0.014359205407472554,0.7460610699860093,0.03384514414637988,0.029666576863677123,0.7486745422392259,0.0366410604806157,0.03211730558491643,0.7614412880284172,0.01859103395020701,0.01629575974839037
head_neck_both_mice,dropout,0.3,5,0.7527813323611783,0.027612245521836585,0.024203200335310374,0.7437570256736568,0.02793821911994414,0.024488928792011942,0.7464667613763375,0.03271570505542647,0.028676579850820706,0.7549003344483344,0.027236457892457534,0.023873807955027512
