model,region,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,weighted_f1_min,weighted_f1_max
logistic_regression,full_body_both_mice,5,0.772722421706257,0.027423279915457902,0.024037564678331673,0.745,0.8149889380530974,0.77369789820648,0.03339978406254536,0.02927620153828488,0.744544930875576,0.8257370129870131,0.769370143057843,0.034489024759391196,0.03023096310515144,0.7354114875829936,0.8223078096619055,0.7731002865048291,0.025489644979533065,0.02234265892745629,0.7460214717575406,0.8120666950940744
random_forest,full_body_both_mice,5,0.8106238453627862,0.03265585288580879,0.028624117111033243,0.7693651718112988,0.8546736725663717,0.8112573558820971,0.035442829266952254,0.031067009617883112,0.7664619815668202,0.8600535714285714,0.8082489518217267,0.03585397888645279,0.031427398149148654,0.7606814940688496,0.8572001351443395,0.8120096798959437,0.03212175668712949,0.028155961151578947,0.771107596681716,0.8547789105578977
logistic_regression,no_tail_both_mice,5,0.7657300231770858,0.025387535486548502,0.022253156010611373,0.73525,0.8039269911504425,0.7657241504691292,0.031263321656208945,0.027403509670884008,0.73525,0.814724025974026,0.7632689516804385,0.031049550238086043,0.027216130761236825,0.7367592476191283,0.8128407683160859,0.7669038785866583,0.023969993442730445,0.021010625625202436,0.7367592476191283,0.8021586813359916
random_forest,no_tail_both_mice,5,0.7949172062666093,0.03822587250743363,0.03350645457493787,0.7435934769947583,0.8440265486725663,0.7929040881820553,0.04140335077565948,0.03629163707761215,0.7353709677419354,0.8457532467532467,0.7917854058237349,0.04128657692108948,0.036189280281101376,0.7329445045988354,0.8440289065147665,0.7975770073583257,0.03672929380824666,0.032194645506554244,0.7481857732086068,0.8446478551471747
logistic_regression,hips_tail_both_mice,5,0.7759428191584151,0.02410389792734318,0.02112799808099621,0.7545,0.8071073008849557,0.7775433124392345,0.027120033453265996,0.023771757434599885,0.7545,0.8154172077922078,0.7742216027801474,0.02948184163489945,0.025841973583027332,0.74881316146386,0.8140601509892399,0.7763976338247641,0.02335437510501411,0.02047101236028141,0.7549242517143322,0.805683100942493
random_forest,hips_tail_both_mice,5,0.7977648880017413,0.02997964735085601,0.026278319531850326,0.7708211997670356,0.8369745575221239,0.8022992650836687,0.033766399040544376,0.029597553735136034,0.7743957373271889,0.8519237012987013,0.7975078229755953,0.03278540687781192,0.028737676191920424,0.7674968781450667,0.8416062427806756,0.7988800662617093,0.028366040937047053,0.024863931148809384,0.7719919002088755,0.8356934119411086
logistic_regression,head_neck_both_mice,5,0.7490309977152965,0.024529694976834545,0.02150122565073057,0.7261211415259173,0.7907909292035398,0.7453199480677569,0.030722482713402385,0.026929443435614125,0.7087966589861752,0.793887987012987,0.7424787972240543,0.03297300552486199,0.028902113656218476,0.7025776676868448,0.7931924794049257,0.7502244009005874,0.02158834475009815,0.018923018502104705,0.7330353748024141,0.7879145726429919
random_forest,head_neck_both_mice,5,0.7736922786584548,0.04209488013739547,0.03689778928883341,0.7216074548631334,0.8331028761061947,0.7698221962912315,0.04836620681641452,0.04239484949208409,0.7049216589861751,0.8376704545454545,0.7703220012630698,0.04552201576683584,0.03990180611716516,0.7082302214103793,0.8346547504358357,0.7773437018392195,0.04033206889930825,0.03535261711096688,0.7280298321030115,0.8339718632625266
logistic_regression,trunk_tail_both_mice,5,0.766505222630905,0.02682934987520747,0.023516962044331045,0.744875,0.8102876106194691,0.7673643669325197,0.0332441671504232,0.029139797300655003,0.732719470046083,0.8193051948051948,0.7632385639220894,0.034538120564105004,0.03027399747539749,0.7253433741749238,0.8166911288443168,0.7668443511244541,0.024896892493273853,0.021823088465038106,0.7452331317532935,0.8069260094370609
random_forest,trunk_tail_both_mice,5,0.8027904386587457,0.030360168894842287,0.02661186137123887,0.7695107746068724,0.843058628318584,0.8064026424579682,0.033458298208089855,0.02932749144826134,0.7727816820276499,0.8544626623376623,0.8014625936959329,0.0328138185495181,0.02876258012020188,0.7641558551762027,0.8465405988958363,0.8036834056987912,0.02970381793018533,0.026036544384603223,0.7703615990561665,0.8425277394997529
